File	true length (um)	e1	e2	fatness	nMale	nHerm	nY
I:\Jung\My Temp\training source - Copy\L3L4\lar41.jpg	799.1744	0.7071	0.7071	8.6635	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar42.jpg	849.1336	0.5154	0.6374	9.6230	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar43.jpg	837.1904	0.6872	0.7071	7.6134	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar44.jpg	834.3416	0.4859	0.6519	8.9528	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar45.jpg	971.8758	0.5571	0.8305	9.4318	1	0	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar46.jpg	750.7256	0.5890	0.7809	7.9423	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar47.jpg	895.4434	0.5872	0.5890	9.6638	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar48.jpg	749.3221	0.6778	0.6872	8.0196	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar49.jpg	683.9097	0.6565	0.8839	8.7356	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar50.jpg	949.3040	0.5432	0.7211	9.5565	0	0	1	
I:\Jung\My Temp\training source - Copy\L3L4\lar6.jpg	1080.4651	0.6402	0.7454	10.4963	1	0	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar7.jpg	1046.6471	0.4714	0.5631	10.6541	0	1	0	
I:\Jung\My Temp\training source - Copy\L3L4\lar9.jpg	1064.1101	0.4472	0.5714	9.6944	0	1	0	
I:\Jung\My Temp\training source - Copy\males\mal1.jpg	941.1120	0.5831	0.6695	8.3385	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal10.jpg	831.3837	1.0000	1.0124	9.4175	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal11.jpg	902.4323	0.6778	0.8687	8.2034	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal12.jpg	977.4731	0.5423	0.6868	8.5887	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal13.jpg	981.8681	0.6000	0.6667	7.3053	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal14.jpg	872.8413	0.7071	0.9220	7.5738	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal15.jpg	926.0157	0.8383	1.0124	8.8750	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal16.jpg	954.3619	0.5423	0.8880	8.7500	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal17.jpg	857.8414	0.5590	0.7289	8.2523	0	0	1	
I:\Jung\My Temp\training source - Copy\males\mal18.jpg	888.6305	0.4344	0.7211	8.4167	0	0	1	
I:\Jung\My Temp\training source - Copy\males\mal19.jpg	959.9606	0.1414	0.8498	7.6324	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal20.jpg	934.3701	0.5000	0.8220	8.8136	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal22.jpg	1076.4393	0.4220	0.7211	9.8425	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal23.jpg	955.9842	0.6202	0.7276	8.4677	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal24.jpg	1006.7950	0.5831	1.0000	8.9333	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal25.jpg	961.0494	0.5657	0.9545	8.7165	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal26.jpg	912.5853	0.4616	0.8246	9.1186	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal27.jpg	940.1443	0.6202	0.8575	8.7073	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal28.jpg	923.7841	0.4472	0.8408	8.6829	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal29.jpg	902.8302	0.6984	0.8246	9.5495	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal3.jpg	964.2296	0.5831	0.9500	8.3507	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal30.jpg	894.7189	0.6183	0.9068	8.2667	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal31.jpg	991.8795	0.5270	1.1180	10.1905	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal32.jpg	937.9382	0.7656	1.0847	9.1610	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal33.jpg	962.5017	0.5114	0.5494	8.7500	0	0	1	
I:\Jung\My Temp\training source - Copy\males\mal34.jpg	880.2916	0.5812	0.8330	9.2119	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal35.jpg	921.7059	0.6146	0.8220	8.6167	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal36.jpg	1016.7782	0.7211	0.8690	9.6000	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal37.jpg	917.1955	0.3676	0.8575	7.5000	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal38.jpg	951.5420	0.5000	0.6565	8.8276	0	0	1	
I:\Jung\My Temp\training source - Copy\males\mal39.jpg	890.5435	0.5872	0.6872	7.0840	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal40.jpg	929.6745	0.5831	0.8330	9.3140	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal41.jpg	817.4221	0.7071	0.7656	7.0804	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal43.jpg	883.8616	0.6374	0.9718	9.2056	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal45.jpg	922.3969	0.8305	0.8602	8.3017	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal46.jpg	931.0425	0.5714	0.7906	9.0077	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal47.jpg	866.3435	0.4286	1.0770	7.6080	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal48.jpg	891.6211	0.7143	0.7468	8.2623	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal49.jpg	983.1545	0.5114	0.9615	9.4074	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal5.jpg	962.4349	0.6000	1.0290	8.8952	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal50.jpg	928.3634	0.2000	0.8498	7.3047	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal52.jpg	915.1481	0.7143	0.8975	8.0640	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal53.jpg	979.0810	0.4932	0.8009	10.2308	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal6.jpg	882.9491	0.6934	0.8745	9.1545	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal7.jpg	946.3153	0.7276	1.2127	9.0000	1	0	0	
I:\Jung\My Temp\training source - Copy\males\mal8.jpg	928.0966	0.8305	0.8435	9.2288	1	0	0	
